site,plot_id,plot,genet_id,T1_spring,T2_fall,change,status,action,split_fuse,include
Outlet,OT2,OT_4,52,81.97,131.42,49.45,grew,grow,none,OK
Outlet,OT2,OT_4,54,14.75,45.53,30.78,grew,grow,fuse,fuse
Outlet,OT2,OT_4,54,14.63,45.53,30.9,grew,grow,fuse,fuse
Outlet,OT2,OT_4,55,14.04,61.23,47.19,grew,grow,fuse,fuse
Outlet,OT2,OT_4,55,44.19,61.23,17.04,grew,grow,fuse,fuse
Outlet,OT2,OT_4,56,187.52,214.72,27.2,grew,grow,none,OK
Outlet,OT2,OT_4,57,47.72,57,9.28,grew,grow,none,OK
Outlet,OT2,OT_4,60,11.05,14.77,3.72,grew,grow,none,OK
Outlet,OT2,OT_4,62,31.6,41.67,10.07,grew,grow,none,OK
Outlet,OT2,OT_4,64,83.24,104.35,21.11,grew,grow,none,OK
Outlet,OT2,OT_4,66,135.03,159.57,24.54,grew,grow,none,OK
Outlet,OT2,OT_4,67,65.33,72.2,6.87,grew,grow,none,OK
Outlet,OT2,OT_4,68,13.91,24.26,10.35,grew,grow,none,OK
Outlet,OT2,OT_4,69,39.22,51.51,12.29,grew,grow,none,OK
Outlet,OT2,OT_4,71,8.64,18.43,9.79,grew,grow,none,OK
Outlet,OT2,OT_4,72,6.85,11.17,4.32,grew,grow,none,OK
Outlet,OT2,OT_4,74,171.24,191.09,19.85,grew,grow,none,OK
Outlet,OT2,OT_4,75,6.62,26.58,19.96,grew,grow,none,OK
Outlet,OT2,OT_4,77,31.08,45.13,14.05,grew,grow,fuse,fuse
Outlet,OT2,OT_4,77,10.23,45.13,34.9,grew,grow,fuse,fuse
Outlet,OT2,OT_4,78,73.77,81.27,7.5,grew,grow,none,OK
Outlet,OT2,OT_4,79,45.35,65.17,19.82,grew,grow,none,OK
Outlet,OT2,OT_4,81,53.64,72.97,19.33,grew,grow,none,OK
Outlet,OT2,OT_4,82,28.53,48.05,19.52,grew,grow,none,OK
Outlet,OT2,OT_4,86,60.95,72.76,11.81,grew,grow,none,OK
Outlet,OT2,OT_4,87,33.73,36.56,2.83,grew,grow,none,OK
Outlet,OT2,OT_4,89,60.88,70.82,9.94,grew,grow,none,OK
Outlet,OT2,OT_4,94,38.46,50.22,11.76,grew,grow,none,OK
