site,plot_id,plot,genet_id,size,timepoint,change,status
Outlet,OT2,OT_4,81,53.64,spring_2022,NA,NA
Outlet,OT2,OT_4,82,28.53,spring_2022,NA,NA
Outlet,OT2,OT_4,86,60.95,spring_2022,NA,NA
Outlet,OT2,OT_4,87,33.73,spring_2022,NA,NA
Outlet,OT2,OT_4,89,60.88,spring_2022,NA,NA
Outlet,OT2,OT_4,94,38.46,spring_2022,NA,NA
Outlet,OT2,OT_4,95,128.1,spring_2022,NA,NA
Outlet,OT2,OT_4,96,23.55,spring_2022,NA,NA
Outlet,OT2,OT_4,98,63.15,spring_2022,NA,NA
Outlet,OT2,OT_4,102,99.29,spring_2022,NA,NA
Outlet,OT2,OT_4,103,34.82,spring_2022,NA,NA
Outlet,OT2,OT_4,104,25.56,spring_2022,NA,NA
Outlet,OT2,OT_4,106,34.58,spring_2022,NA,NA
Outlet,OT2,OT_4,107,57.23,spring_2022,NA,NA
Outlet,OT2,OT_4,109,61.73,spring_2022,NA,NA
Outlet,OT2,OT_4,110,99.94,spring_2022,NA,NA
Outlet,OT2,OT_4,111,94.5,spring_2022,NA,NA
Outlet,OT2,OT_4,112,53.57,spring_2022,NA,NA
Outlet,OT2,OT_4,113,53.51,spring_2022,NA,NA
Outlet,OT2,OT_4,115,15.35,spring_2022,NA,NA
Outlet,OT2,OT_4,117,61.42,spring_2022,NA,NA
Outlet,OT2,OT_4,118,66.72,spring_2022,NA,NA
Outlet,OT2,OT_4,119,19.79,spring_2022,NA,NA
Outlet,OT2,OT_4,120,71.71,spring_2022,NA,NA
Outlet,OT2,OT_4,125,91.13,spring_2022,NA,NA
Outlet,OT2,OT_4,128,97.09,spring_2022,NA,NA
Outlet,OT2,OT_4,129,167.87,spring_2022,NA,NA
Outlet,OT2,OT_4,130,17.9,spring_2022,NA,NA
Outlet,OT2,OT_4,131,31.52,spring_2022,NA,NA
Outlet,OT2,OT_4,137,19.78,spring_2022,NA,NA
Outlet,OT2,OT_4,139,70.59,spring_2022,NA,NA
Outlet,OT2,OT_4,140,136.39,spring_2022,NA,NA
Outlet,OT2,OT_4,142,58.59,spring_2022,NA,NA
Outlet,OT2,OT_4,146,104.57,spring_2022,NA,NA
Outlet,OT2,OT_4,147,74.12,spring_2022,NA,NA
Outlet,OT2,OT_4,151,38.65,spring_2022,NA,NA
Outlet,OT2,OT_4,152,33.82,spring_2022,NA,NA
Outlet,OT2,OT_4,153,45.94,spring_2022,NA,NA
Outlet,OT2,OT_4,154,31.17,spring_2022,NA,NA
Outlet,OT2,OT_4,157,22.1,spring_2022,NA,NA
Outlet,OT2,OT_4,161,35.07,spring_2022,NA,NA
Outlet,OT2,OT_4,162,13.29,spring_2022,NA,NA
Outlet,OT2,OT_4,163,40.49,spring_2022,NA,NA
Outlet,OT2,OT_4,164,125.13,spring_2022,NA,NA
Outlet,OT2,OT_4,165,181.73,spring_2022,NA,NA
Outlet,OT2,OT_4,166,299.3,spring_2022,NA,NA
Outlet,OT2,OT_4,167,146.98,spring_2022,NA,NA
Outlet,OT2,OT_4,168,77.15,spring_2022,NA,NA
Outlet,OT2,OT_4,170,58.28,spring_2022,NA,NA
Outlet,OT2,OT_4,172,46.63,spring_2022,NA,NA
Outlet,OT2,OT_4,173,26.22,spring_2022,NA,NA
Outlet,OT2,OT_4,174,6.62,spring_2022,NA,NA
Outlet,OT2,OT_4,175,6.85,spring_2022,NA,NA
Outlet,OT2,OT_4,177,73.12,spring_2022,NA,NA
Outlet,OT2,OT_4,181,192.55,spring_2022,NA,NA
Outlet,OT2,OT_4,183,95.19,spring_2022,NA,NA
Outlet,OT2,OT_4,185,109.96,spring_2022,NA,NA
Outlet,OT2,OT_4,186,58,spring_2022,NA,NA
Outlet,OT2,OT_4,187,62.54,spring_2022,NA,NA
