site,plot_id,plot,season,scale,rugosity
Outlet,OT1,OT_5,Spring,10cm,1.358231155
Outlet,OT1,OT_5,Spring,10cm,1.369794723
Outlet,OT1,OT_5,Spring,10cm,1.367663339
Outlet,OT1,OT_5,Spring,10cm,1.357867704
Outlet,OT1,OT_5,Spring,10cm,1.35910923
Outlet,OT1,OT_5,Spring,10cm,1.390178366
Outlet,OT1,OT_5,Spring,10cm,1.382578746
Outlet,OT1,OT_5,Spring,10cm,1.375476946
Outlet,OT1,OT_5,Spring,10cm,1.358796943
Outlet,OT1,OT_5,Spring,10cm,1.347101313
Outlet,OT1,OT_5,Spring,10cm,1.326171291
Outlet,OT1,OT_5,Spring,10cm,1.330281639
Outlet,OT1,OT_5,Spring,10cm,1.343008684
Outlet,OT1,OT_5,Spring,10cm,1.359601048
Outlet,OT1,OT_5,Spring,10cm,1.397381305
Outlet,OT1,OT_5,Spring,10cm,1.305350385
Outlet,OT1,OT_5,Spring,10cm,1.27688451
Outlet,OT1,OT_5,Spring,10cm,1.223418755
Outlet,OT1,OT_5,Spring,10cm,1.224477445
Outlet,OT1,OT_5,Spring,10cm,1.184784336
Outlet,OT1,OT_5,Spring,10cm,1.164207295
Outlet,OT1,OT_5,Spring,10cm,1.144724259
Outlet,OT1,OT_5,Spring,10cm,1.130187295
Outlet,OT1,OT_5,Spring,10cm,1.176579673
Outlet,OT1,OT_5,Spring,10cm,1.18033175
Outlet,OT1,OT_5,Spring,10cm,1.173895397
Outlet,OT1,OT_5,Spring,10cm,1.168969031
Outlet,OT1,OT_5,Spring,10cm,1.188639634
Outlet,OT1,OT_5,Spring,10cm,1.187878895
Outlet,OT1,OT_5,Spring,10cm,1.201929181
Outlet,OT1,OT_5,Spring,10cm,1.209807085
Outlet,OT1,OT_5,Spring,10cm,1.232890439
Outlet,OT1,OT_5,Spring,10cm,1.230803865
Outlet,OT1,OT_5,Spring,10cm,1.249203171
Outlet,OT1,OT_5,Spring,10cm,1.264333615
Outlet,OT1,OT_5,Spring,10cm,1.296535572
Outlet,OT1,OT_5,Spring,10cm,1.336732237
Outlet,OT1,OT_5,Spring,10cm,1.359284963
Outlet,OT1,OT_5,Spring,10cm,1.370068054
Outlet,OT1,OT_5,Spring,10cm,1.385167682
Outlet,OT1,OT_5,Spring,10cm,1.391525485
Outlet,OT1,OT_5,Spring,10cm,1.442492348
Outlet,OT1,OT_5,Spring,10cm,1.456897528
Outlet,OT1,OT_5,Spring,10cm,1.443436978
Outlet,OT1,OT_5,Spring,10cm,1.417923686
Outlet,OT1,OT_5,Spring,10cm,1.472697227
Outlet,OT1,OT_5,Spring,10cm,1.507063698
Outlet,OT1,OT_5,Spring,10cm,1.416766524
Outlet,OT1,OT_5,Spring,10cm,1.37093807
Outlet,OT1,OT_5,Spring,10cm,1.36497115
Outlet,OT1,OT_5,Spring,10cm,1.42923774
Outlet,OT1,OT_5,Spring,10cm,1.419585834
Outlet,OT1,OT_5,Spring,10cm,1.384607995
Outlet,OT1,OT_5,Spring,10cm,1.387284751
Outlet,OT1,OT_5,Spring,10cm,1.380728916
Outlet,OT1,OT_5,Spring,10cm,1.385735683
Outlet,OT1,OT_5,Spring,10cm,1.352037361
Outlet,OT1,OT_5,Spring,10cm,1.373515591
Outlet,OT1,OT_5,Spring,10cm,1.352771111
Outlet,OT1,OT_5,Spring,10cm,1.338847479
Outlet,OT1,OT_5,Spring,10cm,1.514007195
Outlet,OT1,OT_5,Spring,10cm,1.541201422
Outlet,OT1,OT_5,Spring,10cm,1.530955815
Outlet,OT1,OT_5,Spring,10cm,1.424277746
Outlet,OT1,OT_5,Spring,10cm,1.477293792
Outlet,OT1,OT_5,Spring,10cm,1.582390546
Outlet,OT1,OT_5,Spring,10cm,1.628057388
Outlet,OT1,OT_5,Spring,10cm,1.446238114
Outlet,OT1,OT_5,Spring,10cm,1.46189628
Outlet,OT1,OT_5,Spring,10cm,1.468735349
Outlet,OT1,OT_5,Spring,10cm,1.49999828
Outlet,OT1,OT_5,Spring,10cm,1.404810842
Outlet,OT1,OT_5,Spring,10cm,1.428093434
Outlet,OT1,OT_5,Spring,10cm,1.447928884
Outlet,OT1,OT_5,Spring,10cm,1.467111498
Outlet,OT1,OT_5,Spring,10cm,1.476813112
Outlet,OT1,OT_5,Spring,10cm,1.514872971
Outlet,OT1,OT_5,Spring,10cm,1.609035814
Outlet,OT1,OT_5,Spring,10cm,1.63974373
Outlet,OT1,OT_5,Spring,10cm,1.580631826
Outlet,OT1,OT_5,Spring,10cm,1.587007398
Outlet,OT1,OT_5,Spring,10cm,1.560607074
Outlet,OT1,OT_5,Spring,10cm,1.539303342
Outlet,OT1,OT_5,Spring,10cm,1.419478081
Outlet,OT1,OT_5,Spring,10cm,1.41626649
Outlet,OT1,OT_5,Spring,10cm,1.305694062
Outlet,OT1,OT_5,Spring,10cm,1.329835901
Outlet,OT2,OT_4,Fall,10cm,1.577065599
Outlet,OT2,OT_4,Fall,10cm,1.536529706
Outlet,OT2,OT_4,Fall,10cm,1.630244809
Outlet,OT2,OT_4,Fall,10cm,1.490841154
Outlet,OT2,OT_4,Fall,10cm,1.442507142
Outlet,OT2,OT_4,Fall,10cm,1.51801968
Outlet,OT2,OT_4,Fall,10cm,1.469466973
Outlet,OT2,OT_4,Fall,10cm,1.423402059
Outlet,OT2,OT_4,Fall,10cm,1.421250581
