day_night,DateTime,lux,PAR,site
day,2023-07-14 16:30:00 UTC,4650,86.025,Outlet
day,2023-07-14 16:40:00 UTC,4477.8,82.8393,Outlet
day,2023-07-14 16:50:00 UTC,7233.4,133.8179,Outlet
day,2023-07-14 17:00:00 UTC,5511.1,101.95535,Outlet
day,2023-07-14 17:10:00 UTC,3788.9,70.09465,Outlet
day,2023-07-14 17:20:00 UTC,3961.1,73.28035,Outlet
day,2023-07-14 17:30:00 UTC,2755.6,50.9786,Outlet
day,2023-07-14 17:40:00 UTC,2411.1,44.60535,Outlet
day,2023-07-14 17:50:00 UTC,2238.9,41.41965,Outlet
night,2023-07-14 18:00:00 UTC,1550,28.675,Outlet
night,2023-07-14 18:10:00 UTC,1011.8,18.7183,Outlet
night,2023-07-14 18:20:00 UTC,818.1,15.13485,Outlet
night,2023-07-14 18:30:00 UTC,279.9,5.17815,Outlet
night,2023-07-14 18:40:00 UTC,86.1,1.59285,Outlet
night,2023-07-14 18:50:00 UTC,21.5,0.39775,Outlet
night,2023-07-14 19:00:00 UTC,0,0,Outlet
night,2023-07-14 19:10:00 UTC,0,0,Outlet
night,2023-07-14 19:20:00 UTC,0,0,Outlet
night,2023-07-14 19:30:00 UTC,0,0,Outlet
night,2023-07-14 19:40:00 UTC,0,0,Outlet
night,2023-07-14 19:50:00 UTC,0,0,Outlet
night,2023-07-14 20:00:00 UTC,0,0,Outlet
night,2023-07-14 20:10:00 UTC,0,0,Outlet
night,2023-07-14 20:20:00 UTC,0,0,Outlet
night,2023-07-14 20:30:00 UTC,0,0,Outlet
night,2023-07-14 20:40:00 UTC,0,0,Outlet
night,2023-07-14 20:50:00 UTC,0,0,Outlet
night,2023-07-14 21:00:00 UTC,0,0,Outlet
night,2023-07-14 21:10:00 UTC,0,0,Outlet
night,2023-07-14 21:20:00 UTC,0,0,Outlet
night,2023-07-14 21:30:00 UTC,0,0,Outlet
night,2023-07-14 21:40:00 UTC,0,0,Outlet
night,2023-07-14 21:50:00 UTC,0,0,Outlet
night,2023-07-14 22:00:00 UTC,0,0,Outlet
night,2023-07-14 22:10:00 UTC,0,0,Outlet
night,2023-07-14 22:20:00 UTC,0,0,Outlet
night,2023-07-14 22:30:00 UTC,0,0,Outlet
night,2023-07-14 22:40:00 UTC,0,0,Outlet
night,2023-07-14 22:50:00 UTC,0,0,Outlet
night,2023-07-14 23:00:00 UTC,0,0,Outlet
night,2023-07-14 23:10:00 UTC,0,0,Outlet
night,2023-07-14 23:20:00 UTC,0,0,Outlet
night,2023-07-14 23:30:00 UTC,0,0,Outlet
night,2023-07-14 23:40:00 UTC,0,0,Outlet
night,2023-07-14 23:50:00 UTC,0,0,Outlet
night,2023-07-15 00:00:00 UTC,0,0,Outlet
night,2023-07-15 00:10:00 UTC,0,0,Outlet
night,2023-07-15 00:20:00 UTC,0,0,Outlet
night,2023-07-15 00:30:00 UTC,0,0,Outlet
night,2023-07-15 00:40:00 UTC,0,0,Outlet
night,2023-07-15 00:50:00 UTC,0,0,Outlet
night,2023-07-15 01:00:00 UTC,0,0,Outlet
night,2023-07-15 01:10:00 UTC,0,0,Outlet
night,2023-07-15 01:20:00 UTC,0,0,Outlet
night,2023-07-15 01:30:00 UTC,0,0,Outlet
night,2023-07-15 01:40:00 UTC,0,0,Outlet
night,2023-07-15 01:50:00 UTC,0,0,Outlet
night,2023-07-15 02:00:00 UTC,0,0,Outlet
night,2023-07-15 02:10:00 UTC,0,0,Outlet
night,2023-07-15 02:20:00 UTC,0,0,Outlet
night,2023-07-15 02:30:00 UTC,0,0,Outlet
night,2023-07-15 02:40:00 UTC,0,0,Outlet
night,2023-07-15 02:50:00 UTC,0,0,Outlet
night,2023-07-15 03:00:00 UTC,0,0,Outlet
night,2023-07-15 03:10:00 UTC,0,0,Outlet
night,2023-07-15 03:20:00 UTC,0,0,Outlet
night,2023-07-15 03:30:00 UTC,0,0,Outlet
night,2023-07-15 03:40:00 UTC,0,0,Outlet
night,2023-07-15 03:50:00 UTC,0,0,Outlet
night,2023-07-15 04:00:00 UTC,0,0,Outlet
night,2023-07-15 04:10:00 UTC,0,0,Outlet
night,2023-07-15 04:20:00 UTC,0,0,Outlet
night,2023-07-15 04:30:00 UTC,0,0,Outlet
night,2023-07-15 04:40:00 UTC,0,0,Outlet
night,2023-07-15 04:50:00 UTC,0,0,Outlet
night,2023-07-15 05:00:00 UTC,0,0,Outlet
night,2023-07-15 05:10:00 UTC,0,0,Outlet
night,2023-07-15 05:20:00 UTC,32.3,0.59755,Outlet
night,2023-07-15 05:30:00 UTC,193.8,3.5853,Outlet
night,2023-07-15 05:40:00 UTC,462.9,8.56365,Outlet
night,2023-07-15 05:50:00 UTC,775,14.3375,Outlet
day,2023-07-15 06:00:00 UTC,1162.5,21.50625,Outlet
day,2023-07-15 06:10:00 UTC,1636.1,30.26785,Outlet
day,2023-07-15 06:20:00 UTC,1980.6,36.6411,Outlet
day,2023-07-15 06:30:00 UTC,2325,43.0125,Outlet
day,2023-07-15 06:40:00 UTC,2669.5,49.38575,Outlet
day,2023-07-15 06:50:00 UTC,3272.2,60.5357,Outlet
day,2023-07-15 07:00:00 UTC,3616.7,66.90895,Outlet
day,2023-07-15 07:10:00 UTC,1980.6,36.6411,Outlet
day,2023-07-15 07:20:00 UTC,3616.7,66.90895,Outlet
day,2023-07-15 07:30:00 UTC,4822.3,89.21255,Outlet
day,2023-07-15 07:40:00 UTC,4822.3,89.21255,Outlet
day,2023-07-15 07:50:00 UTC,5338.9,98.76965,Outlet
day,2023-07-15 08:00:00 UTC,4822.3,89.21255,Outlet
day,2023-07-15 08:10:00 UTC,5166.7,95.58395,Outlet
day,2023-07-15 08:20:00 UTC,7233.4,133.8179,Outlet
day,2023-07-15 08:30:00 UTC,7577.8,140.1893,Outlet
day,2023-07-15 08:40:00 UTC,7577.8,140.1893,Outlet
day,2023-07-15 08:50:00 UTC,12400.1,229.40185,Outlet
day,2023-07-15 09:00:00 UTC,13089,242.1465,Outlet
day,2023-07-15 09:10:00 UTC,15155.7,280.38045,Outlet
day,2023-07-15 09:20:00 UTC,4133.4,76.4679,Outlet
day,2023-07-15 09:30:00 UTC,16533.4,305.8679,Outlet
day,2023-07-15 09:40:00 UTC,10333.4,191.1679,Outlet
day,2023-07-15 09:50:00 UTC,13089,242.1465,Outlet
day,2023-07-15 10:00:00 UTC,10677.8,197.5393,Outlet
day,2023-07-15 10:10:00 UTC,22044.6,407.8251,Outlet
day,2023-07-15 10:20:00 UTC,13089,242.1465,Outlet
day,2023-07-15 10:30:00 UTC,11711.2,216.6572,Outlet
day,2023-07-15 10:40:00 UTC,10677.8,197.5393,Outlet
day,2023-07-15 10:50:00 UTC,27555.7,509.78045,Outlet
day,2023-07-15 11:00:00 UTC,24800.2,458.8037,Outlet
day,2023-07-15 11:10:00 UTC,15155.7,280.38045,Outlet
day,2023-07-15 11:20:00 UTC,31689.1,586.24835,Outlet
