date,site,month,year,season,MONTHID,TEMP_mean,TEMP_sd,TEMP_max,TEMP_min,day_range,MMM,hotspot,hotspot_above_1C,DHW_data
2022-03-27,HKS,3,2022,spring,1,26.13217361,0.780039817,27.075,24.351,2.724,28.5874,-2.455226389,0,0
2022-03-27,IT,3,2022,spring,1,25.36775,0.901915541,26.488,22.525,3.963,28.5874,-3.21965,0,0
2022-03-27,OT,3,2022,spring,1,26.48868056,0.750369836,27.8,23.81,3.99,28.5874,-2.098719444,0,0
2022-03-28,HK,3,2022,spring,1,24.68576389,0.310194435,25.222,24.062,1.16,28.5874,-3.901636111,0,0
2022-03-28,HKS,3,2022,spring,1,24.44474306,0.590821045,25.222,23.004,2.218,28.5874,-4.142656944,0,0
2022-03-28,IT,3,2022,spring,1,25.80334028,1.321048874,27.272,23.292,3.98,28.5874,-2.784059722,0,0
2022-03-28,OT,3,2022,spring,1,26.74576389,1.084000993,28.01,23.89,4.12,28.5874,-1.841636111,0,0
2022-03-29,HK,3,2022,spring,1,24.85539583,0.714381548,25.805,23.773,2.032,28.5874,-3.732004167,0,0
2022-03-29,HKS,3,2022,spring,1,24.66709028,0.846367292,25.805,23.196,2.609,28.5874,-3.920309722,0,0
2022-03-29,IT,3,2022,spring,1,26.860375,0.315325537,27.468,26.39,1.078,28.5874,-1.727025,0,0
2022-03-29,OT,3,2022,spring,1,27.988125,0.512764302,29.08,26.72,2.36,28.5874,-0.599275,0,0
2022-03-30,HK,3,2022,spring,1,25.44602083,0.363587438,25.902,24.931,0.971,28.5874,-3.141379167,0,0
2022-03-30,HKS,3,2022,spring,1,25.42334722,0.448933037,26.097,24.641,1.456,28.5874,-3.164052778,0,0
2022-03-30,IT,3,2022,spring,1,27.16733333,0.206978699,27.764,26.879,0.885,28.5874,-1.420066667,0,0
2022-03-30,OT,3,2022,spring,1,27.96131944,0.559102986,29.08,26.98,2.1,28.5874,-0.626080556,0,0
2022-03-31,HK,3,2022,spring,1,26.82566667,0.725941251,27.764,25.902,1.862,28.5874,-1.761733333,0,0
2022-03-31,HKS,3,2022,spring,1,26.82481944,0.921811561,28.06,25.416,2.644,28.5874,-1.762580556,0,0
2022-03-31,IT,3,2022,spring,1,27.66050694,0.458616618,28.555,26.977,1.578,28.5874,-0.926893056,0,0
2022-03-31,OT,3,2022,spring,1,28.49701389,0.476025327,29.56,27.63,1.93,28.5874,-0.090386111,0,0
2022-04-01,HK,4,2022,spring,2,26.31946528,0.672502153,27.567,24.835,2.732,28.5874,-2.267934722,0,0
